Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;PERIODO;VALOR
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2014M07;96,66
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2014M06;94,23
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2014M05;91,58
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2014M04;91,46
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2014M03;86,77
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2014M02;87,55
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2014M01;89,60
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2013M12;91,71
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2013M11;90,37
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2013M10;90,05
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2013M09;93,11
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2013M08;97,19
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2013M07;96,00
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2013M06;93,26
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2013M05;89,85
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2013M04;88,07
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2013M03;87,85
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2013M02;87,25
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2013M01;89,31
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2012M12;91,63
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2012M11;90,89
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2012M10;90,28
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2012M09;91,84
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2012M08;96,63
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2012M07;95,30
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2012M06;93,34
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2012M05;90,91
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2012M04;92,01
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2012M03;88,24
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2012M02;88,57
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2012M01;90,24
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2011M12;93,18
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2011M11;92,73
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2011M10;91,63
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2011M09;92,55
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2011M08;96,15
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2011M07;94,27
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2011M06;92,83
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2011M05;91,52
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2011M04;92,16
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2011M03;88,38
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2011M02;88,79
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2011M01;90,32
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2010M12;94,39
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2010M11;93,12
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2010M10;91,32
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2010M09;91,61
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2010M08;94,56
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2010M07;93,38
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2010M06;92,63
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2010M05;91,74
