comunidad_autonoma,periodo,duracion_media_viaje,gasto_medio_diario,gasto_medio_persona
"Balears, Illes",2018-02-01,7.85,126.0,986.0
"Balears, Illes",2018-03-01,6.9,144.0,992.0
"Balears, Illes",2018-04-01,5.96,152.0,906.0
"Balears, Illes",2018-05-01,6.07,159.0,963.0
"Balears, Illes",2018-06-01,6.51,155.0,1008.0
"Balears, Illes",2018-07-01,6.67,175.0,1169.0
"Balears, Illes",2018-08-01,7.46,162.0,1210.0
"Balears, Illes",2018-09-01,6.96,150.0,1048.0
"Balears, Illes",2018-10-01,7.33,143.0,1047.0
"Balears, Illes",2018-11-01,8.16,120.0,975.0
"Balears, Illes",2018-12-01,7.42,138.0,1023.0
"Balears, Illes",2019-01-01,7.62,125.0,953.0
"Balears, Illes",2019-02-01,6.25,146.0,914.0
"Balears, Illes",2019-03-01,5.88,165.0,971.0
"Balears, Illes",2019-04-01,6.03,152.0,917.0
"Balears, Illes",2019-05-01,5.59,169.0,945.0
"Balears, Illes",2019-06-01,6.54,159.0,1039.0
"Balears, Illes",2019-07-01,7.22,171.0,1231.0
"Balears, Illes",2019-08-01,7.39,168.0,1239.0
"Balears, Illes",2019-09-01,6.49,163.0,1060.0
"Balears, Illes",2019-10-01,6.94,153.0,1059.0
"Balears, Illes",2019-11-01,8.09,127.0,1030.0
"Balears, Illes",2019-12-01,8.27,138.0,1143.0
"Balears, Illes",2020-01-01,7.98,129.0,1032.0
"Balears, Illes",2020-02-01,6.95,137.0,956.0
"Balears, Illes",2020-03-01,5.68,159.0,905.0
"Balears, Illes",2020-04-01,0.0,0.0,0.0
"Balears, Illes",2020-05-01,0.0,0.0,0.0
"Balears, Illes",2020-06-01,7.83,124.0,974.0
"Balears, Illes",2020-07-01,7.62,143.0,1087.0
"Balears, Illes",2020-08-01,7.8,150.0,1168.0
"Balears, Illes",2020-09-01,7.91,129.0,1021.0
"Balears, Illes",2020-10-01,9.16,107.0,985.0
"Balears, Illes",2020-11-01,9.99,112.0,1122.0
"Balears, Illes",2020-12-01,10.19,112.0,1145.0
"Balears, Illes",2021-01-01,10.58,99.0,1048.0
"Balears, Illes",2021-02-01,9.92,104.0,1028.0
"Balears, Illes",2021-03-01,8.64,111.0,960.0
"Balears, Illes",2021-04-01,8.03,126.0,1008.0
"Balears, Illes",2021-05-01,7.25,143.0,1037.0
"Balears, Illes",2021-06-01,7.13,158.0,1125.0
"Balears, Illes",2021-07-01,6.83,181.0,1238.0
"Balears, Illes",2021-08-01,7.25,167.0,1209.0
"Balears, Illes",2021-09-01,7.17,156.0,1119.0
"Balears, Illes",2021-10-01,7.1,155.0,1104.0
"Balears, Illes",2021-11-01,8.34,132.0,1105.0
"Balears, Illes",2021-12-01,9.32,119.0,1108.0
"Balears, Illes",2022-01-01,11.32,108.0,1218.0
"Balears, Illes",2022-02-01,7.93,127.0,1009.0
"Balears, Illes",2022-03-01,7.75,154.0,1191.0
"Balears, Illes",2022-04-01,7.69,147.0,1128.0
"Balears, Illes",2022-05-01,5.94,188.0,1115.0
"Balears, Illes",2022-06-01,6.18,180.0,1112.0
"Balears, Illes",2022-07-01,6.65,186.0,1236.0
"Balears, Illes",2022-08-01,6.69,182.0,1219.0
"Balears, Illes",2022-09-01,6.33,175.0,1108.0
"Balears, Illes",2022-10-01,6.8,162.0,1102.0
"Balears, Illes",2022-11-01,8.2,139.0,1140.0
"Balears, Illes",2022-12-01,8.29,134.0,1106.0
"Balears, Illes",2023-01-01,8.76,129.0,1128.0
"Balears, Illes",2023-02-01,6.83,148.0,1011.0
"Balears, Illes",2023-03-01,7.87,153.0,1204.0
"Balears, Illes",2023-04-01,6.25,180.0,1123.0
"Balears, Illes",2023-05-01,5.43,195.0,1059.0
"Balears, Illes",2023-06-01,6.05,196.0,1187.0
"Balears, Illes",2023-07-01,6.35,210.0,1336.0
"Balears, Illes",2023-08-01,7.26,190.0,1383.0
"Balears, Illes",2023-09-01,6.31,193.0,1217.0
"Balears, Illes",2023-10-01,6.63,178.0,1181.0
"Balears, Illes",2023-11-01,8.93,140.0,1247.0
"Balears, Illes",2023-12-01,9.32,139.0,1297.0
"Balears, Illes",2024-01-01,9.17,137.0,1252.0
"Balears, Illes",2024-02-01,7.18,169.0,1212.0
"Balears, Illes",2024-03-01,6.84,179.0,1225.0
"Balears, Illes",2024-04-01,6.09,191.0,1163.0
"Balears, Illes",2024-05-01,5.23,212.0,1110.0
"Balears, Illes",2024-06-01,6.02,208.0,1253.0
"Balears, Illes",2024-07-01,6.72,221.0,1485.0
"Balears, Illes",2024-08-01,6.78,215.0,1455.0
"Balears, Illes",2024-09-01,6.15,204.0,1257.0
"Balears, Illes",2024-10-01,7.06,188.0,1328.0
"Balears, Illes",2024-11-01,9.52,148.0,1409.0
"Balears, Illes",2024-12-01,9.5,141.0,1335.0
"Balears, Illes",2025-01-01,8.44,150.0,1267.0
Canarias,2015-10-01,8.62,122.0,1051.0
Canarias,2015-11-01,8.63,131.0,1128.0
Canarias,2015-12-01,8.69,131.0,1137.0
Canarias,2016-01-01,8.89,129.0,1148.0
Canarias,2016-02-01,8.83,128.0,1132.0
Canarias,2016-03-01,8.88,128.0,1135.0
Canarias,2016-04-01,8.72,121.0,1054.0
Canarias,2016-05-01,8.32,131.0,1092.0
Canarias,2016-06-01,8.28,128.0,1060.0
Canarias,2016-07-01,8.59,139.0,1195.0
Canarias,2016-08-01,9.5,128.0,1216.0
Canarias,2016-09-01,8.73,130.0,1133.0
Canarias,2016-10-01,8.32,136.0,1132.0
Canarias,2016-11-01,8.31,136.0,1131.0
Canarias,2016-12-01,9.2,128.0,1182.0
Canarias,2017-01-01,8.88,134.0,1186.0
Canarias,2017-02-01,9.26,128.0,1183.0
Canarias,2017-03-01,8.32,141.0,1177.0
Canarias,2017-04-01,8.29,130.0,1074.0
Canarias,2017-05-01,8.25,137.0,1128.0
Canarias,2017-06-01,8.06,133.0,1076.0
Canarias,2017-07-01,8.5,148.0,1259.0
Canarias,2017-08-01,9.27,140.0,1301.0
Canarias,2017-09-01,8.49,136.0,1158.0
Canarias,2017-10-01,8.25,141.0,1166.0
Canarias,2017-11-01,8.52,143.0,1219.0
Canarias,2017-12-01,8.67,141.0,1225.0
Canarias,2018-01-01,8.52,143.0,1223.0
Canarias,2018-02-01,8.58,139.0,1189.0
