comunidad_autonoma,periodo,duracion_media_viaje,gasto_medio_diario,gasto_medio_persona
Cataluña,2022-10-01,5.32,190.0,1013.0
Cataluña,2022-11-01,5.33,192.0,1023.0
Cataluña,2022-12-01,6.99,155.0,1083.0
Cataluña,2023-01-01,6.44,157.0,1013.0
Cataluña,2023-02-01,5.13,197.0,1008.0
Cataluña,2023-03-01,5.29,194.0,1028.0
Cataluña,2023-04-01,4.94,213.0,1050.0
Cataluña,2023-05-01,4.94,226.0,1115.0
Cataluña,2023-06-01,5.0,246.0,1233.0
Cataluña,2023-07-01,5.99,221.0,1327.0
Cataluña,2023-08-01,6.54,200.0,1304.0
Cataluña,2023-09-01,5.28,222.0,1173.0
Cataluña,2023-10-01,5.09,224.0,1142.0
Cataluña,2023-11-01,5.74,193.0,1109.0
Cataluña,2023-12-01,7.05,171.0,1204.0
Cataluña,2024-01-01,6.89,159.0,1097.0
Cataluña,2024-02-01,5.31,198.0,1051.0
Cataluña,2024-03-01,5.35,206.0,1100.0
Cataluña,2024-04-01,4.93,219.0,1077.0
Cataluña,2024-05-01,4.61,247.0,1139.0
Cataluña,2024-06-01,5.09,249.0,1267.0
Cataluña,2024-07-01,5.98,220.0,1313.0
Cataluña,2024-08-01,6.28,213.0,1337.0
Cataluña,2024-09-01,5.59,216.0,1210.0
Cataluña,2024-10-01,5.24,220.0,1153.0
Cataluña,2024-11-01,5.56,197.0,1097.0
Cataluña,2024-12-01,7.78,157.0,1222.0
Cataluña,2025-01-01,6.24,163.0,1019.0
Comunitat Valenciana,2015-10-01,10.19,86.0,877.0
Comunitat Valenciana,2015-11-01,8.42,105.0,885.0
Comunitat Valenciana,2015-12-01,10.59,93.0,981.0
Comunitat Valenciana,2016-01-01,10.73,90.0,969.0
Comunitat Valenciana,2016-02-01,9.78,93.0,913.0
Comunitat Valenciana,2016-03-01,9.0,99.0,891.0
Comunitat Valenciana,2016-04-01,9.39,97.0,909.0
Comunitat Valenciana,2016-05-01,9.09,91.0,830.0
Comunitat Valenciana,2016-06-01,10.1,94.0,952.0
Comunitat Valenciana,2016-07-01,11.49,85.0,973.0
Comunitat Valenciana,2016-08-01,12.22,83.0,1019.0
Comunitat Valenciana,2016-09-01,10.89,97.0,1051.0
Comunitat Valenciana,2016-10-01,10.14,88.0,891.0
Comunitat Valenciana,2016-11-01,10.35,95.0,981.0
Comunitat Valenciana,2016-12-01,12.1,100.0,1216.0
Comunitat Valenciana,2017-01-01,10.6,92.0,973.0
Comunitat Valenciana,2017-02-01,9.48,105.0,991.0
Comunitat Valenciana,2017-03-01,9.62,102.0,980.0
Comunitat Valenciana,2017-04-01,8.99,96.0,865.0
Comunitat Valenciana,2017-05-01,8.26,100.0,828.0
Comunitat Valenciana,2017-06-01,9.1,98.0,893.0
Comunitat Valenciana,2017-07-01,10.69,96.0,1021.0
Comunitat Valenciana,2017-08-01,11.85,92.0,1090.0
Comunitat Valenciana,2017-09-01,9.55,101.0,963.0
Comunitat Valenciana,2017-10-01,9.72,94.0,915.0
Comunitat Valenciana,2017-11-01,10.12,91.0,920.0
Comunitat Valenciana,2017-12-01,12.12,81.0,984.0
Comunitat Valenciana,2018-01-01,10.61,91.0,965.0
Comunitat Valenciana,2018-02-01,9.0,108.0,973.0
Comunitat Valenciana,2018-03-01,9.73,100.0,971.0
Comunitat Valenciana,2018-04-01,9.43,93.0,877.0
Comunitat Valenciana,2018-05-01,8.38,103.0,862.0
Comunitat Valenciana,2018-06-01,10.3,91.0,941.0
Comunitat Valenciana,2018-07-01,10.3,102.0,1055.0
Comunitat Valenciana,2018-08-01,11.37,95.0,1084.0
Comunitat Valenciana,2018-09-01,9.76,99.0,962.0
Comunitat Valenciana,2018-10-01,9.35,97.0,911.0
Comunitat Valenciana,2018-11-01,8.65,110.0,949.0
Comunitat Valenciana,2018-12-01,12.08,85.0,1025.0
Comunitat Valenciana,2019-01-01,10.65,100.0,1060.0
Comunitat Valenciana,2019-02-01,9.9,105.0,1035.0
Comunitat Valenciana,2019-03-01,8.78,111.0,979.0
Comunitat Valenciana,2019-04-01,7.98,108.0,866.0
Comunitat Valenciana,2019-05-01,7.31,119.0,870.0
Comunitat Valenciana,2019-06-01,8.93,110.0,980.0
Comunitat Valenciana,2019-07-01,10.04,109.0,1096.0
Comunitat Valenciana,2019-08-01,10.72,104.0,1115.0
Comunitat Valenciana,2019-09-01,9.95,100.0,998.0
Comunitat Valenciana,2019-10-01,8.67,111.0,962.0
Comunitat Valenciana,2019-11-01,7.63,126.0,958.0
Comunitat Valenciana,2019-12-01,10.47,100.0,1051.0
Comunitat Valenciana,2020-01-01,9.77,106.0,1031.0
Comunitat Valenciana,2020-02-01,8.85,113.0,1001.0
Comunitat Valenciana,2020-03-01,9.27,106.0,985.0
Comunitat Valenciana,2020-04-01,0.0,0.0,0.0
Comunitat Valenciana,2020-05-01,0.0,0.0,0.0
Comunitat Valenciana,2020-06-01,8.08,72.0,581.0
Comunitat Valenciana,2020-07-01,10.43,95.0,993.0
Comunitat Valenciana,2020-08-01,11.89,80.0,949.0
Comunitat Valenciana,2020-09-01,11.49,76.0,875.0
Comunitat Valenciana,2020-10-01,10.4,85.0,883.0
Comunitat Valenciana,2020-11-01,10.29,90.0,930.0
Comunitat Valenciana,2020-12-01,13.12,79.0,1038.0
