id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1132484139671796169,RentalSevilla La Salle 1B,170512874,Esther,Macarena,Pino Flores,37.40632340000001,-5.9736952,Entire home/apt,,1,1,2024-05-30,0.14,119,298,1,CTC 2024045794
1132486582501707178,RentalSevilla La Salle 2A,170512874,Esther,Macarena,Pino Flores,37.40632,-5.9737,Entire home/apt,206,1,0,,,119,337,0,CTC 2024045794
1132489224577765743,RentalSevilla La Salle 2B,170512874,Esther,Macarena,Pino Flores,37.40632340000001,-5.9736952,Entire home/apt,202,1,0,,,119,296,0,CTC 2024045794
1132492610595901295,RentalSevilla La Salle 3A,170512874,Esther,Macarena,Pino Flores,37.40632340000001,-5.9736952,Entire home/apt,206,1,0,,,119,290,0,CTC 2024045794
1132494666154807717,RentalSevilla La Salle 3B,170512874,Esther,Macarena,Pino Flores,37.40632340000001,-5.9736952,Entire home/apt,206,1,0,,,119,318,0,CTC 2024045794
1132501179450978586,RentalSevilla La Salle 4A,170512874,Esther,Macarena,Pino Flores,37.40632340000001,-5.9736952,Entire home/apt,204,1,0,,,119,308,0,CTC 2024045794
1132504956159297507,RentalSevilla La Salle 4B,170512874,Esther,Macarena,Pino Flores,37.40632,-5.9737,Entire home/apt,204,1,3,2024-12-10,0.41,119,306,3,CTC 2024045794
1132515536371807012,"Habitación, plaza del duque",149538035,Alexander,Casco Antiguo,"Encarnación, Regina",37.39327287592609,-5.993460939495159,Private room,39,1,0,,,1,235,0,Exempt
1132573015673474489,Casa 5 dormitorios + Parking + Patio en FIBES,209748933,Mariano,Este - Alcosa - Torreblanca,no asignado,37.40753,-5.93594,Entire home/apt,359,1,5,2024-10-27,0.72,58,30,5,VUT/SE/12720
1132585835473147255,Sevillian Charm on Sol street Comfort & Tradition,113546787,Fran Y Manuela,Casco Antiguo,Santa Catalina,37.39408,-5.9876,Entire home/apt,130,1,4,2024-06-09,0.50,36,296,4,VUT/SE/12406
1132737274024129357,Casa Goles,571820203,Nkoula,Casco Antiguo,San Vicente,37.395625600346975,-6.001940183959489,Entire home/apt,568,2,11,2024-11-03,1.34,1,191,11,vft/es/11852
1133164600683812131,Apartamento doble en el centro,571904834,Alejandro,Casco Antiguo,Alfalfa,37.3893068,-5.9969535,Entire home/apt,162,2,3,2024-06-02,0.37,1,9,3,H41811AAAH
1133198190395921495,Casa Castellar,384108835,Mina,Casco Antiguo,"Encarnación, Regina",37.395063025145035,-5.990945997056794,Private room,75,1,14,2024-12-09,1.62,2,260,14,VFT/SE/05107
1133211488378732003,RentalSevilla Vívelo en Triana,170512874,Esther,Triana,Triana Este,37.38048,-6.00213,Entire home/apt,300,1,1,2024-05-26,0.14,119,289,1,VFT/SE/14215
1133224451561750238,RentalSevilla en Triana,170512874,Esther,Triana,Triana Oeste,37.38448,-6.01205,Entire home/apt,152,1,5,2024-12-16,2.94,119,292,5,VFT/SE11948
1133439018389634614,CLB Argote De Molina  Apartment,119408720,Álvaro,Casco Antiguo,Santa Cruz,37.38754,-5.99224,Entire home/apt,200,2,3,2024-05-30,0.40,5,333,3,VFT/SE/07089
1133453040319824716,"California, petite Dos de mayo, vistas a giralda",524803780,Jose Antonio,Casco Antiguo,Arenal,37.3846129,-5.9966539,Entire home/apt,83,1,6,2024-10-20,0.83,4,113,6,vft/se/12514
