id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1034664356010260993,Modern apartments with pool. Comtat St Jordi-46 m,304023307,Bertur,,Castell-Platja d'Aro,41.82586,3.080098,Entire home/apt,134,1,0,,,48,363,0,HUTG-002139
1034664365849587975,Modern apartments with pool. Comtat St Jordi-46 m,304023307,Bertur,,Castell-Platja d'Aro,41.82586,3.080098,Entire home/apt,134,1,0,,,48,363,0,HUTG-002139
1034664372194222931,Modern apartments with pool. Comtat St Jordi-46 m,304023307,Bertur,,Castell-Platja d'Aro,41.82586,3.080098,Entire home/apt,134,1,0,,,48,363,0,HUTG-002139
1034664415604439967,Modern apartments with pool. Comtat St Jordi-46 P,304023307,Bertur,,Castell-Platja d'Aro,41.82586,3.080098,Entire home/apt,127,1,0,,,48,363,0,HUTG-002139
1034673310100764747,Modern apartments with pool. Comtat St Jordi-24STD,304023307,Bertur,,Castell-Platja d'Aro,41.825871,3.080108,Entire home/apt,73,1,1,2024-02-18,0.09,48,363,1,HUTG-002139
1034673550835237883,Modern apartments with pool. Comtat St Jordi-46 P,304023307,Bertur,,Castell-Platja d'Aro,41.82586,3.080098,Entire home/apt,127,1,0,,,48,363,0,HUTG-002139
1034673596059588717,Modern apartments with pool. Comtat St Jordi-46std,304023307,Bertur,,Castell-Platja d'Aro,41.82586,3.080098,Entire home/apt,121,1,0,,,48,363,0,HUTG-002139
1034673606300599936,Modern apartments with pool. Comtat St Jordi-46std,304023307,Bertur,,Castell-Platja d'Aro,41.82586,3.080098,Entire home/apt,121,1,0,,,48,363,0,HUTG-002139
1034678043184822551,Modern apartments with pool. Comtat St Jordi-46std,304023307,Bertur,,Castell-Platja d'Aro,41.82586,3.080098,Entire home/apt,121,1,0,,,48,363,0,HUTG-002139
1034711815225779045,Modern studios with pool. Golf beach pals a2 st,304023307,Bertur,,Pals,41.983777,3.194113,Entire home/apt,103,1,0,,,48,363,0,HUTG-002154
1039740287122297085,Cabañita de Madera en la Montaña.,437191843,Laia,,Sant Jaume de Llierca,42.2119401,2.5941239,Entire home/apt,71,1,46,2024-12-08,3.55,3,267,43,Exempt
1039756480126636500,"Sirena 2 2-Bonito piso, a 300Mts de la playa",269248023,Ispa Inter Immo,,Roses,42.26237,3.15035,Entire home/apt,79,1,0,,,122,237,0,HUTG-074223
1039807318353006687,Camping 4 étoiles - Parc aquatique - eecaef,542217306,Philippe,,Pals,41.9544,3.15848,Entire home/apt,122,1,0,,,17,214,0,Exempt
1039907484761256860,Confortable appartement roses,446642905,Kamel,,Roses,42.2669805,3.1742594,Entire home/apt,80,3,1,2024-08-22,0.23,1,271,1,HUTG-075566
1040266500406555585,Grans Paisatges,491995504,Holidu,,Bàscara,42.12521,2.90669,Entire home/apt,396,1,0,,,36,364,0,HUTG-016811
1040392710601799919,Apartament els Pics Cerdans,8472875,Welcome,,Puigcerdà,42.43358,1.92895,Entire home/apt,180,1,2,2024-04-01,0.17,55,154,2,HUTG-066506
1040481810558152742,"Welhomy | Magnifique Maison | Roses, Bramer 14.",499979202,Arnaud,,Roses,42.25116,3.195,Entire home/apt,82,1,8,2024-12-08,0.91,21,66,8,HUTB-006584
1040532705527781421,"Harmonia, loft en el Montseny",479766391,Rosa M.,,Arbúcies,41.8199028,2.5023587,Entire home/apt,80,3,42,2024-12-02,3.80,1,36,42,LLG-000599
1040611982353147484,Casa Pals playa jardin piscina aire acondicionado,26757276,Juanjo,,Pals,41.9874242065968,3.1945692747831345,Entire home/apt,325,7,0,,,1,231,0,HUTG-061850
1040664404543550780,Can Carisma,549638367,Carme,,Camprodon,42.31313,2.36762,Entire home/apt,124,2,5,2024-09-05,0.44,1,341,5,HUTG-075425
1041089671349712846,"Cadí, céntrico alojamiento en Puigcerdá, Cerdaña",97077525,Carlos,,Puigcerdà,42.43321,1.92658,Entire home/apt,88,1,8,2024-07-14,0.65,9,177,6,HUTG-041992
1041101685786029287,Top Holiday Villa in Pals-Begur,420416297,Frederic,,Pals,41.9785931,3.1941088,Entire home/apt,195,3,9,2024-10-03,0.97,1,239,9,HUTG-039682
1041217163362009604,"Casa Brusselles - L'Estartit, Torre Vella",227953558,Wouter,,Torroella de Montgrí,42.05966,3.15996,Entire home/apt,68,1,1,2024-08-24,0.23,77,303,1,HUTG-072212
1041267460247381378,OASIS Costa Brava beach&mountain,36650828,Maria,,Lloret de Mar,41.70533,2.87931,Entire home/apt,,32,0,,,4,0,0,Exempt
1041820312606540816,Apto a Pie de Pistas en La Molina,477122696,Raymundo,,Alp,42.33741307482618,1.9414173662704304,Entire home/apt,263,2,4,2024-08-26,0.35,3,65,4,HUTG-038943
1041830901990349017,Moderno apartamento junto al mar,295871264,Iryna,,Calonge,41.84576,3.10074,Entire home/apt,200,5,6,2024-08-15,0.65,1,184,6,HUTG-075021
1041876622729027522,House Welcs EMP -111-with swimming pool,420214931,Welcs,,Castelló d'Empúries,42.24472,3.11713,Entire home/apt,172,1,6,2024-08-24,0.59,103,338,6,Exempt
1041939803725535018,Rambla libertat 26-2,528979730,Carlos Magno,,Girona,41.98359809999999,2.8241946,Private room,40,1,8,2024-11-22,1.19,4,270,8,Exempt
1042050322972320653,"Coqueto, céntrico y cerca de la playa",785464,Anna,,Palamós,41.84954,3.12847,Entire home/apt,88,2,11,2024-08-23,0.88,7,66,10,HUTG-074462
1042064116877846227,La Caseta,14219118,Elena,,Castell-Platja d'Aro,41.8031396,3.0505253,Entire home/apt,102,3,4,2024-08-30,0.82,1,269,4,HUTG-074100
1042529227484653310,Apartamento Duplex,495110727,Natalia,,Lloret de Mar,41.6983506,2.8277295,Entire home/apt,250,14,6,2024-12-20,0.77,1,18,6,HUTG042404
