periodo,pais_residencia,gasto_medio_diario,gasto_medio_persona,duracion_media_viaje
2021-03-01,Reino Unido,83.0,1396.0,16.91
2021-03-01,Otros,165.0,1299.0,7.88
2021-04-01,Alemania,118.0,1046.0,8.88
2021-04-01,Francia,128.0,771.0,6.04
2021-04-01,Italia,142.0,985.0,6.93
2021-04-01,Paises Nordicos,105.0,1268.0,12.06
2021-04-01,Reino Unido,86.0,1098.0,12.84
2021-04-01,Otros,148.0,1180.0,7.96
2021-05-01,Alemania,132.0,1059.0,8.02
2021-05-01,Francia,121.0,654.0,5.39
2021-05-01,Italia,132.0,802.0,6.06
2021-05-01,Paises Nordicos,133.0,1285.0,9.67
2021-05-01,Reino Unido,95.0,1147.0,12.1
2021-05-01,Otros,163.0,1222.0,7.48
2021-06-01,Alemania,146.0,1110.0,7.63
2021-06-01,Francia,123.0,688.0,5.59
2021-06-01,Italia,123.0,832.0,6.77
2021-06-01,Paises Nordicos,137.0,1183.0,8.66
2021-06-01,Reino Unido,111.0,1063.0,9.54
2021-06-01,Otros,168.0,1315.0,7.82
2021-07-01,Alemania,148.0,1210.0,8.16
2021-07-01,Francia,107.0,813.0,7.62
2021-07-01,Italia,131.0,874.0,6.65
2021-07-01,Paises Nordicos,134.0,1463.0,10.91
2021-07-01,Reino Unido,145.0,1196.0,8.27
2021-07-01,Otros,164.0,1359.0,8.27
2021-08-01,Alemania,138.0,1127.0,8.18
2021-08-01,Francia,103.0,918.0,8.89
2021-08-01,Italia,132.0,1009.0,7.63
2021-08-01,Paises Nordicos,134.0,1382.0,10.31
2021-08-01,Reino Unido,132.0,1202.0,9.13
2021-08-01,Otros,158.0,1255.0,7.93
2021-09-01,Alemania,134.0,1152.0,8.58
2021-09-01,Francia,91.0,757.0,8.3
2021-09-01,Italia,122.0,856.0,7.0
2021-09-01,Paises Nordicos,143.0,1114.0,7.78
2021-09-01,Reino Unido,128.0,1052.0,8.24
2021-09-01,Otros,165.0,1185.0,7.2
2021-10-01,Alemania,135.0,1165.0,8.61
2021-10-01,Francia,107.0,683.0,6.38
2021-10-01,Italia,131.0,818.0,6.25
2021-10-01,Paises Nordicos,135.0,1179.0,8.72
2021-10-01,Reino Unido,128.0,1044.0,8.15
2021-10-01,Otros,161.0,1247.0,7.77
2021-11-01,Alemania,135.0,1231.0,9.11
2021-11-01,Francia,101.0,705.0,6.96
2021-11-01,Italia,131.0,770.0,5.87
2021-11-01,Paises Nordicos,139.0,1393.0,10.02
2021-11-01,Reino Unido,128.0,1066.0,8.36
2021-11-01,Otros,171.0,1258.0,7.37
2021-12-01,Alemania,122.0,1217.0,9.94
2021-12-01,Francia,79.0,662.0,8.35
2021-12-01,Italia,107.0,962.0,8.98
2021-12-01,Paises Nordicos,125.0,1557.0,12.5
2021-12-01,Reino Unido,119.0,1151.0,9.7
2021-12-01,Otros,153.0,1423.0,9.29
2022-01-01,Alemania,118.0,1412.0,11.93
2022-01-01,Francia,88.0,733.0,8.34
2022-01-01,Italia,108.0,834.0,7.75
2022-01-01,Paises Nordicos,124.0,1400.0,11.26
2022-01-01,Reino Unido,110.0,1224.0,11.16
2022-01-01,Otros,143.0,1329.0,9.3
2022-02-01,Alemania,129.0,1258.0,9.78
2022-02-01,Francia,110.0,747.0,6.78
2022-02-01,Italia,105.0,830.0,7.92
2022-02-01,Paises Nordicos,135.0,1398.0,10.33
2022-02-01,Reino Unido,134.0,1162.0,8.69
2022-02-01,Otros,153.0,1359.0,8.86
2022-03-01,Alemania,137.0,1261.0,9.21
2022-03-01,Francia,109.0,735.0,6.72
2022-03-01,Italia,133.0,847.0,6.35
2022-03-01,Paises Nordicos,148.0,1486.0,10.06
2022-03-01,Reino Unido,144.0,1227.0,8.5
2022-03-01,Otros,192.0,1437.0,7.5
2022-04-01,Alemania,136.0,1112.0,8.14
2022-04-01,Francia,120.0,715.0,5.97
2022-04-01,Italia,131.0,891.0,6.8
2022-04-01,Paises Nordicos,130.0,1386.0,10.67
2022-04-01,Reino Unido,145.0,1040.0,7.15
2022-04-01,Otros,189.0,1323.0,6.99
2022-05-01,Alemania,161.0,1110.0,6.88
2022-05-01,Francia,127.0,766.0,6.01
2022-05-01,Italia,150.0,728.0,4.86
2022-05-01,Paises Nordicos,151.0,1237.0,8.17
2022-05-01,Reino Unido,160.0,1055.0,6.57
2022-05-01,Otros,213.0,1401.0,6.57
2022-06-01,Alemania,147.0,1105.0,7.5
2022-06-01,Francia,130.0,734.0,5.65
2022-06-01,Italia,147.0,792.0,5.4
2022-06-01,Paises Nordicos,159.0,1244.0,7.82
2022-06-01,Reino Unido,158.0,1078.0,6.85
2022-06-01,Otros,210.0,1513.0,7.21
2022-07-01,Alemania,151.0,1225.0,8.09
2022-07-01,Francia,121.0,862.0,7.1
2022-07-01,Italia,147.0,970.0,6.59
2022-07-01,Paises Nordicos,156.0,1562.0,10.02
2022-07-01,Reino Unido,174.0,1260.0,7.24
2022-07-01,Otros,195.0,1539.0,7.91
2022-08-01,Alemania,160.0,1194.0,7.46
2022-08-01,Francia,120.0,984.0,8.23
2022-08-01,Italia,148.0,1029.0,6.94
2022-08-01,Paises Nordicos,151.0,1461.0,9.67
2022-08-01,Reino Unido,161.0,1259.0,7.83
2022-08-01,Otros,191.0,1486.0,7.79
2022-09-01,Alemania,155.0,1125.0,7.24
2022-09-01,Francia,113.0,831.0,7.34
2022-09-01,Italia,138.0,874.0,6.34
2022-09-01,Paises Nordicos,172.0,1167.0,6.8
2022-09-01,Reino Unido,158.0,1085.0,6.88
2022-09-01,Otros,206.0,1392.0,6.77
2022-10-01,Alemania,143.0,1114.0,7.78
2022-10-01,Francia,110.0,757.0,6.85
2022-10-01,Italia,142.0,787.0,5.54
2022-10-01,Paises Nordicos,164.0,1293.0,7.87
2022-10-01,Reino Unido,156.0,1073.0,6.9
2022-10-01,Otros,207.0,1373.0,6.62
2022-11-01,Alemania,143.0,1302.0,9.1
2022-11-01,Francia,113.0,722.0,6.4
2022-11-01,Italia,143.0,815.0,5.68
2022-11-01,Paises Nordicos,149.0,1469.0,9.83
2022-11-01,Reino Unido,151.0,1091.0,7.23
2022-11-01,Otros,206.0,1485.0,7.2
2022-12-01,Alemania,120.0,1354.0,11.28
2022-12-01,Francia,103.0,785.0,7.65
2022-12-01,Italia,108.0,1025.0,9.5
2022-12-01,Paises Nordicos,142.0,1494.0,10.55
2022-12-01,Reino Unido,137.0,1104.0,8.04
2022-12-01,Otros,183.0,1509.0,8.24
2023-01-01,Alemania,127.0,1243.0,9.79
2023-01-01,Francia,98.0,712.0,7.25
2023-01-01,Italia,130.0,773.0,5.92
2023-01-01,Paises Nordicos,151.0,1398.0,9.27
2023-01-01,Reino Unido,138.0,1140.0,8.26
2023-01-01,Otros,172.0,1515.0,8.8
2023-02-01,Alemania,143.0,1241.0,8.68
2023-02-01,Francia,112.0,683.0,6.07
2023-02-01,Italia,121.0,838.0,6.9
2023-02-01,Paises Nordicos,164.0,1399.0,8.54
2023-02-01,Reino Unido,153.0,1090.0,7.14
2023-02-01,Otros,194.0,1525.0,7.86
2023-03-01,Alemania,154.0,1178.0,7.63
2023-03-01,Francia,117.0,790.0,6.77
2023-03-01,Italia,142.0,789.0,5.56
2023-03-01,Paises Nordicos,159.0,1511.0,9.53
2023-03-01,Reino Unido,156.0,1094.0,7.02
2023-03-01,Otros,200.0,1547.0,7.72
2023-04-01,Alemania,149.0,1241.0,8.31
2023-04-01,Francia,116.0,739.0,6.37
2023-04-01,Italia,149.0,786.0,5.28
2023-04-01,Paises Nordicos,157.0,1460.0,9.28
2023-04-01,Reino Unido,159.0,997.0,6.25
2023-04-01,Otros,217.0,1381.0,6.37
2023-05-01,Alemania,170.0,1063.0,6.27
2023-05-01,Francia,128.0,732.0,5.72
2023-05-01,Italia,153.0,741.0,4.84
2023-05-01,Paises Nordicos,151.0,1214.0,8.05
